Unnamed: 0,번호,제목,저자,출판사,출판일
,43,Data-driven medicinal chemistry in the era of big data,"Lusher, S. J.; McGuire, R.; van Schaik, R. C.; Nicholson, C. D.; de Vlieg, J.","Elsevier Science B.V., Amsterdam.",2014
,44,Big data-based multimedia transcoding method and its application in multimedia data mining-based smart transportation and telemedicine,"Zhu, D.",Springer Science + Business Media,2016
,45,Big data: New tend to sustainable consumption research,"Wang, Zhaohua; Xue, Mengtian; Wang, Yutao; Song, Malin; Li, Shanjun; Daziano, Ricardo A.; Wang, Bo; Ma, Guanhua; Chen, Ke; Li, Xiangtao; Zhang, Bin","Elsevier Science B.V., Amsterdam.",2019
,46,``Big Data'' and the CBC-diff,"Chaves,  Fernando",MEDICAL LABORATORY OBSERVER,2015
,47,'Big data' flood warning.,Editor(s),CONCORDE PUBLISHING LTD,2015
,48,"BIG DATA: NEW SCIENCE, NEW CHALLENGES, NEW DIALOGICAL OPPORTUNITIES","Fuller, M.",Wiley-Blackwell,2015
,49,Big data—driven personal protective equipment stockpiling framework under a universal healthcare system for disease control and prevention in the COVID-19 era,"Ma, Kevin Sheng-Kai; Tsai, Alice Shin-Yi",University of Chicago Press.,2022
,50,Big Data: the challenge for small research groups in the era of cancer genomics,"Noor, A. M.; Holmberg, L.; Gillett, C.; Grigoriadis, A.",Nature Publishing Group,2015
,51,Data Envelopment Analysis and Big Data: Revisit with a Faster Method,"Khezrimotlagh, Dariush; Zhu, Joe",Kluwer Academic Publishers,2020
,52,'BIG DATA' AND ALEXANDER VON HUMBOLDT'S APPROACH TO SCIENCE,"Grana‐Behrens, Daniel","John Wiley & Sons, Ltd",2021
,53,Big data: From beginning to future,"Yaqoob, Ibrar; Hashem, Ibrahim Abaker Targio; Gani, Abdullah; Mokhtar, Salimah; Ahmed, Ejaz; Anuar, Nor Badrul; Vasilakos, Athanasios V.","Elsevier Science B.V., Amsterdam.",2016
,54,Big Data…Small Conclusion,"Murthy, Sudish C.","Elsevier Science B.V., Amsterdam",2020
,55,Big data: Some statistical issues,"Cox, D.R.; Kartsonaki, Christiana; Keogh, Ruth H.","Elsevier Science B.V., Amsterdam.",2018
,56,"""Big Data"" im Insolvenzverfahren",Geiser,ZAP-Verlag fuer die Rechts- und Anwaltspraxis GmbH und Co,2017
,57,``Big Data'' in Laboratory Medicine,"Tolan,  N. V.; Parnas,  M. L.; Baudhuin,  L. M.; Cervinski,  M. A.; Chan,  A. S.; Holmes,  D. T.; Horowitz,  G.; Klee,  E. W.; Kumar,  R. B.; Master,  S. R.",American Association for Clinical Chemistry; 1999,2015
,58,"`Big data' approaches to trauma outcome prediction and autonomous resuscitation Shiming Yang, Mary Njoku and Colin F Mackenzie discuss how massive clinical data are used in learning prediction models at level 1 trauma centres to support decision making in trauma patients",unknown,Mark Allen Publishing,2014
,59,Big data: the next challenge for statistics,"Ieva, F.",Springer,2015
,60,Big Data: Next-Generation Machines for Big Science,"Hack, James J.; Papka, Michael E.",IEEE,2015
,61,Big Data: A Survey,"Chen, M.; Mao, S.; Liu, Y.",Springer Science + Business Media,2014
,62,Big Data: Chancen und Risiken,unknown,VV GMBH,2019
,63,Big data-assisted urban governance: An intelligent real-time monitoring and early warning system for public opinion in government hotline,"Zhang, Zicheng","Elsevier Science B.V., Amsterdam.",2023
,64,Big data-driven precision medicine: Starting the custom-made era of iatrology,"Song, Chang; Kong, Ying; Huang, Lianfang; Luo, Hui; Zhu, Xiao","Elsevier Science B.V., Amsterdam.",2020
,65,"""big data"" in the information age","Gordo, Blanca","John Wiley & Sons, Ltd",2017
,66,Big data: The panoptic medium of the information age.,"Biggs, Simon",Artlink,2017
,67,Big Data: Issues and Challenges Moving Forward,"Kaisler, S.; Armour, F.; Espinosa, J.A.; Money, W.",IEEE,2013
,68,Big data: lessons for employers and employees,"Jeske, Debora; Calvard, Thomas",Emerald Group Publishing Limited,2020
,69,"Big Data: State-of-the-art Concepts, Techniques, Technologies, Modeling Approaches and Research Challenges","Costa,  Carlos; Santos,  Maribel Yasmina","NEWSWOOD LTD.,",2017
,70,Big data: a big opportunity for the petroleum and petrochemical industry,"Hassani, Hossein; Silva, Emmanuel Sirimal","John Wiley & Sons, Ltd",2018
,71,``Big data'' and ``open data'': What kind of access should researchers enjoy?,"Chatellier,  G.; Varlet,  V.; Blachier-Poisson,  C.; Beslay,  N.; Behier,  J.-M.; Braunstein,  D.; Caralp,  M.; Congard-Chassol,  B.; Diaz,  I.; Fournier,  L.",EDP sciences,2015
,72,Big data: a new look at old problems,"Cenko, E.; Hall, M.; Bugiardini, R.",Oxford University Press,2016
,73,Big data-driven business model innovation by traditional industries in the Chinese economy,"Cheah, Sarah; Wang, Shenghui",EMERALD GROUP PUBLISHING LTD,2017
,74,Big Data: An Exploration Toward the Improve of the Academic Performance in Higher Education,"Bravo, Leonardo Emiro Contreras; Bermudez, Giovanny Mauricio Tarazona; Molano, José Ignacio Rodríguez",Springer,2018
,75,Big Data—Hot Air or Hot Topic?,"Serrano,  Angel",Information Systems Audit and Control Association,2016
,76,"Big Data's promise: messy, like us","Karlgaard, R.",FORBES MAGAZINE,2013
,77,Big data-based deterioration prediction models and infrastructure management: towards assetmetrics,"Kobayashi, Kiyoshi; Kaito, Kiyoyuki",Taylor & Francis,2017
,78,Big data: Are large prospective randomized trials obsolete in the future?,"Hudis, Clifford A.","Elsevier Science B.V., Amsterdam",2015
,79,Big Data: A Game Changer for Environmental Management,"Qiu,  Xin; Met,  P.; Taylor,  Nigel",Air and Waste Management Association,2014
,80,Big Data: de la investigacion cientifica a la gestion empresarial,"Areces, F.R.",REVISTA DE OCCIDENTE,2014
,81,Big data‐driven machine learning‐enabled traffic flow prediction,Fanhui Kong,wiley,2019
,82,Big data trends in stroke epidemiology in the United States: But are they good data?,"Prabhakaran,  S.",American Academy of Neurology,2018
,83,Big data. An overview and challenges for companies,"Karoui, M.; Davauchelle, G.; Dudezert, A.",HERMES SCIENCE,2014
,84,Big Data: Present and Future,"Chauhan, Preeti; Sood, Mohit",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
,85,“Big data” driven tech mining and ST&I management: an introduction,Ying Huang; Xuefeng Wang; Yi Zhang; Denise Chiavetta; Alan L. Porter,Springer,2022
,86,Big Data-Driven Detection of False Data Injection Attacks in Smart Meters,"Unal, Fatih; Almalaq, Abdulaziz; Ekici, Sami; Glauner, Patrick",IEEE,2021
,87,Big Data: Gaining a Competitive Edge,"Worster, A.; Weirich, T. R.; Andera, F.","John Wiley & Sons, Ltd",2014
,88,"Big data: techniques and technologies in geoinformatics, edited by Hassan A. Karimi, Boca Raton, FL, CRC Press, 2014, 312 pp., US$129.95 (hardcover), ISBN 13-978-1466586512","Nara, Atsushi",Taylor & Francis,2015
,89,Big Data: Progress or a Big Headache?,"Dhawan, A.; Brand, J.C.; Rossi, M.J.; Lubowitz, J.H.",unknown,2018
,90,Big data: Where do I start?,"Ziehler, K.B.",MGMA,2014
,91,Big data: the next frontier for innovation in therapeutics and healthcare,"Issa, N.T.; Byers, S.W.; Dakshanamurthy, S.",Informa Healthcare,2014
,92,Big data-driven supply chain and performance: a resource-based view,"Kamboj, Shampy",Emerald,2023
,93,Big data-driven investigation into the maturity of library research data services (RDS),"Nahotko, Marek","Elsevier Science B.V., Amsterdam.",2023
,94,Big Data: Large-Scale Historical Infrastructure from the Minnesota Population Center,"Sobek, M.; Cleveland, L.; Flood, S.; Hall, P.K.; King, M.L.; Ruggles, S.; Schroeder, M.",HELDREF PUBLICATIONS,2011
,95,Data-Driven Decision Making in Precision Agriculture: The Rise of Big Data in Agricultural Systems,"Tantalaki, Nicoleta; Souravlas, Stavros; Roumeliotis, Manos",Taylor & Francis,2019
,96,Big Questions for “Big Data”,"Wears, R. L.; Williams, D. J.","Elsevier Science B.V., Amsterdam",2016
,97,"Big Data: A Revolution That Will Transform How We Live, Work, and Think","Naimi, A. I.; Westreich, D. J.",Oxford University Press,2014
,98,Big Data: A Quick-Start Guide for Learning Practitioners,"Dearborn, J.",A.ST.D,2014
,99,Big Data: The Connected Car shines at Mobile World Congress (and elsewhere),unknown,CHILTON CO.,2014
,100,Data Privacy and Big Data-Compliance Issues and Considerations,"Yu, W.E.",Information Systems Audit and Control Association,2014
,1,Architecting Time-Critical Big-Data Systems,"Basanta-Val, P.; Audsley, N. C.; Wellings, A. J.; Gray, I.; Fernandez-Garcia, N.",unknown,2016
,2,A trust-based crowdfunding campaign marketing framework: theoretical underpinnings and big-data analytics practice,"Baah-Peprah, Prince; Shneor, Rotem",Inderscience,2021
,3,A Game Theoretic Approach for Addressing Domain-Shift in Big-Data,"Raghavan, Krishnan",unknown,2022
,4,<bold>D</bold>ense <bold>o</bold>r <bold>S</bold>parse : Elastic SPMM Implementation for Optimal Big-Data Processing,"Choi, Unho",unknown,2022
,5,Computation migration: a new approach to execute big-data bioinformatics workflows,"Nunes, Rickey T. P.; Deshpande, Santosh L.",Inderscience,2018
,6,Scalable Data Quality for Big Data: The Pythia Framework for Handling Missing Values,unknown,Mary Ann Leibert,2015
,7,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2022
,8,"Capturing the value of biosurveillance ""big data"" through natural capital accounting","Castle, David; Hebert, Paul D.N.; Clare, Elizabeth L.; Hogg, Ian D.; Tremblay, Crystal",John Wiley & Sons Ltd,2021
,9,"Big Data, Small Personas: How Algorithms Shape the Demographic Representation of Data-Driven User Segments","Salminen, Joni; Chhirang, Kamal; Jung, Soon-Gyo; Thirumuruganathan, Saravanan; Guan, Kathleen W.; Jansen, Bernard J.",Mary Ann Leibert,2022
,10,The Role of Teamwork in the Analysis of Big Data: A Study of Visual Analytics and Box Office Prediction,unknown,Mary Ann Leibert,2017
,11,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay",Mary Ann Leibert,2021
,12,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,13,"Authors' Response to Gong's, “Comment on Data Science and its Relationship to Big Data and Data-Driven Decision Making”",unknown,Mary Ann Leibert,2014
,14,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities","Chen, Bin; Xu, Bing; Gong, Peng",John Wiley & Sons Ltd,2021
,15,Big data: new methods and ideas in geological scientific research,"Qi, Zhang; Xuelong, Liu",John Wiley & Sons Ltd,2019
,16,"Correction to: Predictive Modeling with Big Data: Is Bigger Really Better? by Junqué de Fortuny E, Martens D, and Provost F. Big Data 2013;1(4):215–226.",unknown,Mary Ann Leibert,2019
,17,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2018
,18,Big Scholarly Data: A Survey,"Xia, F.; Wang, W.; Bekele, T. M.; Liu, H.",unknown,2017
,19,Diversity in Big Data: A Review,unknown,Mary Ann Leibert,2017
,20,"Bring it on, Big Data: Beyond the Hype",unknown,Mary Ann Leibert,2014
,21,Deep learning for processing and analysis of remote sensing big data: a technical review,"Zhang, Xin",John Wiley & Sons Ltd,2022
,22,Big Data–Artificial Intelligence Fusion Technology in Education in the Context of the New Crown Epidemic,"Zhao, JunJing; Li, Qi",Mary Ann Leibert,2022
,23,Multiple Targets Tracking with Big Data-Based Measurement for Extended Binary Phase Shift Keying Transceiver,"Yu, Yao; Zhao, Junhui; Lenan, Wu",Mary Ann Leibert,2019
,24,The Structural Consequences of Big Data-Driven Education,unknown,Mary Ann Leibert,2017
,25,Data-Efficient Performance Modeling for Configurable Big Data Frameworks by Reducing Information Overlap Between Training Examples,"Liu, Zhiqiang","Elsevier Science B.V., Amsterdam",2022
,26,Computational Propaganda and Political Big Data: Moving Toward a More Critical Research Agenda,unknown,Mary Ann Leibert,2017
,27,Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay",Mary Ann Leibert,2023
,28,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,29,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2019
,30,Data Science and its Relationship to Big Data and Data-Driven Decision Making,unknown,Mary Ann Leibert,2013
,31,Big-BOE: Fusing Spanish Official Gazette with Big Data Technology,"Basanta-Val, P.; Sánchez-Fernández, L.",Mary Ann Leibert,2018
,32,Scientific Training in the Era of Big Data: A New Pedagogy for Graduate Education,unknown,Mary Ann Leibert,2017
,33,"Global water cycle and remote sensing big data: overview, challenge, and opportunities","Cui, Yaokui; Chen, Xi; Gao, Jinyu; Yan, Binyan; Tang, Guoqiang; Hong, Yang",John Wiley & Sons Ltd,2018
,34,A big data-based RF localisation method for unmanned search and rescue,"Wang, Ju; Liu, Hongzhe; Bao, Hong; Montoya, Cesar Flores; Hinton, James",Inderscience,2018
,35,Diastema: data-driven stack for big data applications management and deployment,"Kiourtis, Athanasios",Inderscience,2023
,36,"Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2015
,37,A survey on data‐efficient algorithms in big data era,"Adadi, Amina",Springer Nature,2021
,38,"Guest Editorial: Big Media Data: Understanding, Search, and Mining","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2016
,39,"Guest Editorial: Big Media Data: Understanding, Search, and Mining","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C.",unknown,2017
,40,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,41,Privacy models for big data: a survey,"Victor, Nancy; Lopez, Daphne; Abawajy, Jemal H.",Inderscience,2016
,42,Visual Analysis of Multidimensional Big Data: A Scalable Lightweight Bundling Method for Parallel Coordinates,"Cui, Wenqiang",unknown,2021
,43,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,44,"Special Issue on Biomedical Big Data: Understanding, Learning and Applications","Zhu, J.; Liu, A.; Chen, M.; Tasdizen, T.; Su, H.",unknown,2017
,45,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,46,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2022
,47,A Big Data Framework to Address Building Sum Insured Misestimation,"Roberts, Callum","Elsevier Science B.V., Amsterdam",2023
,48,Big Data and the Rise of Machines in Financial Markets,unknown,Mary Ann Leibert,2014
,49,Can Big Data Machines Analyze Stock Market Sentiment?,unknown,Mary Ann Leibert,2014
,50,Call for Papers: Big Data,"Obradovic, Zoran",Mary Ann Leibert,2022
,51,A Survey of Biological Data in a Big Data Perspective,"Dall'Alba, Gabriel; Casa, Pedro Lenz; Abreu, Fernanda Pessi de; Notari, Daniel Luis; de Avila e Silva, Scheila",Mary Ann Leibert,2022
,52,Big data ensemble clinical prediction for healthcare data by using deep learning model,"Rallapalli, Sreekanth; Gondkar, R.R.",Inderscience,2018
,53,TV Audience Measurement with Big Data,unknown,Mary Ann Leibert,2014
,54,Moth-Flame Optimization-Bat Optimization: Map-Reduce Framework for Big Data Clustering Using the Moth-Flame Bat Optimization and Sparse Fuzzy C-Means,"Ravuri, Vasavi; Vasundra, S.",Mary Ann Leibert,2020
,55,Call for Special Issue Papers: Big Data Analytics in Industrial Intelligence,"Tsai, Sang-Bing; Wu, Chia-Huei; Qi, Lianyong",Mary Ann Leibert,2022
,56,Big Data for Social Good,unknown,Mary Ann Leibert,2015
,57,Artificial Bee Colony Reinforced Extended Kalman Filter Localization Algorithm in Internet of Things with Big Data Blending Technique for Finding the Accurate Position of Reference Nodes,"Raghav, R. Srinivasa; Thirugnanasambandam, Kalaipriyan; Varadarajan, Vijayakumar; Vairavasundaram, Subramaniyaswamy; Ravi, Logesh",Mary Ann Leibert,2022
,58,Big Data 2.0: Cataclysm or Catalyst?,unknown,Mary Ann Leibert,2014
,59,Call for Special Issue Papers: Big Scientific Data and Machine Learning in Science and Engineering,"Anaraki, Farhad Pourkamali; Hariri-Ardebili, M. Amin; Becker, Stephen; Raissi, Maziar",Mary Ann Leibert,2021
,60,An Exercise in Exploring Big Data for Producing Reliable Statistical Information,unknown,Mary Ann Leibert,2016
,61,Curating Big Data Made Simple: Perspectives from Scientific Communities,unknown,Mary Ann Leibert,2014
,62,Call for Papers: Special Issue on Big Data in Robotics,unknown,Mary Ann Leibert,2016
,63,Big data (lost) in the cloud,"Di Martino, Beniamino; Aversa, Rocco; Cretella, Giuseppina; Esposito, Antonio; Kołodziej, Joanna",Inderscience,2014
,64,An Ensemble-Based Scalable Approach for Intrusion Detection Using Big Data Framework,"Sahu, Santosh Kumar; Mohapatra, Durga Prasad; Rout, Jitendra Kumar; Sahoo, Kshira Sagar; Luhach, Ashish Kr.",Mary Ann Leibert,2021
,65,Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare,"Wang, Gai-Ge; Gao, Xiao-Zhi; Pei, Yan",Mary Ann Leibert,2021
,66,Does Medical School Training Relate to Practice? Evidence from Big Data,unknown,Mary Ann Leibert,2015
,67,MRS-DP: Improving Performance and Resource Utilization of Big Data Applications with Deadlines and Priorities,"Upadhyay, Utsav; Sikka, Geeta",Mary Ann Leibert,2020
,68,New discrimination diagrams for basalts based on big data research,"Zhang, Qi; Sun, Weidong; Zhao, Yong; Yuan, Fanglin; Jiao, Shoutao; Chen, Wanfeng",John Wiley & Sons Ltd,2019
,69,Call for Special Issue Papers: Internet of Medical Things in Big Data for Pervasive Medical Care,"Din, Sadia; Aslan, Nauman; Cheung, Simon K.S.; Hasan, Khondker",Mary Ann Leibert,2020
,70,"Comparative study of big data of global adakites and mineralization-related granite in the Geza arc metallogenic belt, northwest Yunnan, Southwest China","Xuelong, Liu; Wenchang, Li; Qi, Zhang; Na, Zhang; Changzhen, Zhang; Ying, Luo; Shuaishuai, Wang; Fucheng, Yang; Jianhang, Chen; Zhenhuan, Li",John Wiley & Sons Ltd,2018
,71,Call for Special Issue Papers: Deep Learning Assisted Big Data Analytics for Biomedical Applications and Digital Healthcare,"Wang, Gai-Ge; Gao, Xiao-Zhi; Pei, Yan",Mary Ann Leibert,2022
,72,Big Data Based Security Analytics for Protecting Virtualized Infrastructures in Cloud Computing,"Win, T. Y.; Tianfield, H.; Mair, Q.",unknown,2018
,73,MonkeyKing: Adaptive Parameter Tuning on Big Data Platforms with Deep Reinforcement Learning,"Du, Haizhou; Han, Ping; Xiang, Qiao; Huang, Sheng",Mary Ann Leibert,2020
,74,Call for Papers: Special Issue on Computational Propaganda and Political Big Data,unknown,Mary Ann Leibert,2017
,75,"An Efficient, Ensemble-Based Classification Framework for Big Medical Data","Khan, Firoz; Siva Prasad, Balusupati Veera Venkata; Syed, Salman Ali; Ashraf, Imran; Ramasamy, Lakshmana Kumar",Mary Ann Leibert,2022
,76,Call for Special Issue Papers: Soft Computing Models for Big Data and Internet of Things,"Chilamkurti, Naveen; Paul, Anand; Kumar, Akshi",Mary Ann Leibert,2020
,77,Big uncertain data of multiple sensors efficient processing with high order multi-hypothesis: an evidence theoretic approach,"Jafari, Hossein; Li, Xiangfang; Qian, Lijun; Aved, Alexander J.; Kroecker, Timothy S.",Inderscience,2018
,78,Call for Special Issue Papers: Cloud Computing and Big Data for Cognitive IoT,"Verdu, Elena; Nieto, Yuri Vanessa; Saleem, Nasir",Mary Ann Leibert,2021
,79,The U.S. Army Person-Event Data Environment: A MilitaryÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“Civilian Big Data Enterprise,unknown,Mary Ann Leibert,2015
,80,Labor Economists Get Their Microscope: Big Data and Labor Market Analysis,unknown,Mary Ann Leibert,2015
,81,Why Big Data = Big Deal,unknown,Mary Ann Leibert,2014
,82,Call for Special Issue Papers: Big Data Analytics and Intelligent Systems for Cybersecurity,"El-Latif, Ahmed A. Abd",Mary Ann Leibert,2021
,83,Correction to: Big Data 2016;4:60–66,unknown,Mary Ann Leibert,2016
,84,Big Data As an Enabler of Primary Education,unknown,Mary Ann Leibert,2016
,85,Unsupervised Tensor Mining for Big Data Practitioners,unknown,Mary Ann Leibert,2016
,86,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,87,Big Multimodal Data Analysis: Models and Performance Analysis,"Jeon, Gwanggil",Mary Ann Leibert,2022
,88,Using Big Data to Understand the Human Condition: The Kavli Human Project,unknown,Mary Ann Leibert,2015
,89,SecDedoop: Secure Deduplication with Access Control of Big Data in the HDFS/Hadoop Environment,"Ramya, P.; Sundar, C.",Mary Ann Leibert,2020
,90,Toward a General Framework for Multimodal Big Data Analysis,"Bellandi, Valerio",Mary Ann Leibert,2022
,91,Big data and analytics: a data management perspective in public administration,"Mittal, Prabhat",Inderscience,2020
,92,Big Data in Healthcare: Opportunities and Challenges,unknown,Mary Ann Leibert,2015
,93,A Big Data Guide to Understanding Climate Change: The Case for Theory-Guided Data Science,unknown,Mary Ann Leibert,2014
,94,Call for Special Issue Papers: Programming Models and Algorithms for Big Data,"Al-Turjman, Fadi; Hamouda, Walaa; Mumtaz, Shahid",Mary Ann Leibert,2020
,95,Common Big Data Challenges and How to Overcome Them,unknown,Mary Ann Leibert,2014
,96,"Big Data, 3D Printing Technology, and Industry of the Future","Alabi, Micheal Omotayo",IGI Publising,2017
,97,Recent advance in earth observation big data for hydrology,"Chen, Lajiao; Wang, Lizhe",John Wiley & Sons Ltd,2018
,98,Big Data and Predictive Analytics in Health Care,unknown,Mary Ann Leibert,2014
,99,Big data drives the development of Earth science,"Guo, Huadong",John Wiley & Sons Ltd,2017
,100,XDataExplorer: A Three-Stage Comprehensive Self-Tuning Tool for Big Data Platforms,"Guo, Qing","Elsevier Science B.V., Amsterdam",2022
